file_urls,files
http://seaborn.pydata.org/_downloads/residplot.py,"[{'url': 'http://seaborn.pydata.org/_downloads/residplot.py', 'path': 'residplot.py', 'checksum': '4d0018491853998c50454f81161b2536'}]"
http://seaborn.pydata.org/_downloads/multiple_regression.py,"[{'url': 'http://seaborn.pydata.org/_downloads/multiple_regression.py', 'path': 'multiple_regression.py', 'checksum': '8bb6dd8695f855ac388491b18388b8fe'}]"
http://seaborn.pydata.org/_downloads/pair_grid_with_kde.py,"[{'url': 'http://seaborn.pydata.org/_downloads/pair_grid_with_kde.py', 'path': 'pair_grid_with_kde.py', 'checksum': 'f7790a591808a8185c5f4b7abfb04635'}]"
http://seaborn.pydata.org/_downloads/many_facets.py,"[{'url': 'http://seaborn.pydata.org/_downloads/many_facets.py', 'path': 'many_facets.py', 'checksum': 'd056fcdc3b2fb6519b370fccfb1fc071'}]"
http://seaborn.pydata.org/_downloads/marginal_ticks.py,"[{'url': 'http://seaborn.pydata.org/_downloads/marginal_ticks.py', 'path': 'marginal_ticks.py', 'checksum': '807f9310143ba8d90565686656bc872b'}]"
http://seaborn.pydata.org/_downloads/logistic_regression.py,"[{'url': 'http://seaborn.pydata.org/_downloads/logistic_regression.py', 'path': 'logistic_regression.py', 'checksum': '6abc8563379a09c0394f7492a69c6003'}]"
http://seaborn.pydata.org/_downloads/multiple_joint_kde.py,"[{'url': 'http://seaborn.pydata.org/_downloads/multiple_joint_kde.py', 'path': 'multiple_joint_kde.py', 'checksum': '2e22af8438f3bb659f629671b254c34a'}]"
http://seaborn.pydata.org/_downloads/large_distributions.py,"[{'url': 'http://seaborn.pydata.org/_downloads/large_distributions.py', 'path': 'large_distributions.py', 'checksum': 'e49a0b8dc939a05e6d4ee73257b5ae3d'}]"
http://seaborn.pydata.org/_downloads/joint_kde.py,"[{'url': 'http://seaborn.pydata.org/_downloads/joint_kde.py', 'path': 'joint_kde.py', 'checksum': 'a6f1e297aae47701eb540c66b246a6ff'}]"
http://seaborn.pydata.org/_downloads/kde_ridgeplot.py,"[{'url': 'http://seaborn.pydata.org/_downloads/kde_ridgeplot.py', 'path': 'kde_ridgeplot.py', 'checksum': '956b1c3b14d1ded2365448e2db7972d6'}]"
http://seaborn.pydata.org/_downloads/jitter_stripplot.py,"[{'url': 'http://seaborn.pydata.org/_downloads/jitter_stripplot.py', 'path': 'jitter_stripplot.py', 'checksum': '752631309d9565b98874bb61a5c178a9'}]"
http://seaborn.pydata.org/_downloads/paired_pointplots.py,"[{'url': 'http://seaborn.pydata.org/_downloads/paired_pointplots.py', 'path': 'paired_pointplots.py', 'checksum': '8761c7aed7cba7bab35bcf59d5a334f4'}]"
http://seaborn.pydata.org/_downloads/many_pairwise_correlations.py,"[{'url': 'http://seaborn.pydata.org/_downloads/many_pairwise_correlations.py', 'path': 'many_pairwise_correlations.py', 'checksum': '8c8a631e34bce399c4a16601a3297fa0'}]"
